ONS Code,Region or Country,Road user type,Severity,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,
E12000004,East Midlands,Car occupants,KSI (adjusted),"1,356","1,251","1,285","1,212","1,242","1,151","1,197","1,260",978,"1,044",,,,,,,,,,,,,
E12000005,West Midlands,Car occupants,KSI (adjusted),"1,054",932,"1,025",967,913,901,823,798,607,799,,,,,,,,,,,,,
E12000006,East of England,Car occupants,KSI (adjusted),"1,441","1,365","1,326","1,271","1,254","1,232","1,253","1,235",976,"1,119",,,,,,,,,,,,,
E12000007,London,Car occupants,KSI (adjusted),803,642,650,640,647,541,679,606,433,482,,,,,,,,,,,,,
E12000008,South East,Car occupants,KSI (adjusted),"2,043","2,028","2,203","2,042","2,124","1,922","2,123","2,050","1,732","1,767",,,,,,,,,,,,,
E12000009,South West,Car occupants,KSI (adjusted),"1,061","1,007","1,089","1,125","1,161","1,115","1,051","1,051",777,903,,,,,,,,,,,,,
E92000001,England,Car occupants,KSI (adjusted),"11,176","10,375","11,015","10,637","10,280","9,940","10,225","10,075","7,819","8,961",,,,,,,,,,,,,
W92000004,Wales,Car occupants,KSI (adjusted),743,728,787,762,723,678,737,736,472,639,,,,,,,,,,,,,
S92000003,Scotland,Car occupants,KSI (adjusted),"1,724","1,556","1,489","1,433","1,562","1,333","1,299","1,282",701,784,,,,,,,,,,,,,
K03000001,Great Britain,Car occupants,KSI (adjusted),"13,643","12,659","13,291","12,832","12,565","11,952","12,261","12,093","8,992","10,384",,,,,,,,,,,,,
N92000002,Northern Ireland,Car occupants,KSI (adjusted),,,,,,,,,,,,,,,,,,,,,,,
K02000001,United Kingdom,Car occupants,KSI (adjusted),,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,Pedestrians,All casualties,"1,014",962,874,842,852,788,812,811,569,626,,,,,,,,,,,,,
E12000002,North West,Pedestrians,All casualties,"3,156","2,909","2,832","2,628","2,720","2,733","2,746","2,466","1,579","2,015",,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Pedestrians,All casualties,"2,404","2,172","2,286","2,334","2,190","2,097","1,996","1,844","1,333","1,686",,,,,,,,,,,,,
E12000004,East Midlands,Pedestrians,All casualties,"1,680","1,531","1,659","1,620","1,483","1,434","1,444","1,488",987,"1,152",,,,,,,,,,,,,
E12000005,West Midlands,Pedestrians,All casualties,"2,092","2,076","2,183","2,237","2,093","2,035","1,914","1,950","1,379","1,438",,,,,,,,,,,,,
E12000006,East of England,Pedestrians,All casualties,"1,881","1,700","1,828","1,721","1,719","1,732","1,613","1,567","1,137","1,243",,,,,,,,,,,,,
E12000007,London,Pedestrians,All casualties,"5,272","5,186","5,617","5,388","5,552","6,638","5,767","5,664","3,675","3,840",,,,,,,,,,,,,
E12000008,South East,Pedestrians,All casualties,"2,950","2,926","3,172","3,117","2,917","2,698","2,704","2,545","1,820","2,188",,,,,,,,,,,,,
